addr_full,brand,brand_wikidata,city,country,email,extras,facebook,housenumber,image,lat,located_in,located_in_wikidata,lon,name,nsi_id,opening_hours,phone,postcode,ref,state,street,street_address,twitter,website
,Longchamp,Q1869471,PRAHA,CZ,info@aeliacz.com,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,50.1051,,,14.2676,LONGCHAMP FURLA BOUTIQUE,longchamp-afbfc9,,+420 296 665 319,16008,CZ001,,,VACLAVA HAVLA PRAGUE AIRPORT NON SHENGEN,,
,Longchamp,Q1869471,PRAHA,CZ,info@aeliacz.com,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,50.0755,,,14.4378,LAGARDERE DUTY FREE,longchamp-afbfc9,,+420 296 665 319,16008,CZ003,,,VACLAVA HAVLA PRAGUE AIRPORT  SHENGEN,,
,Longchamp,Q1869471,INGOLSTADT,DE,office@leoka.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,48.774969,,,11.390086,LEOKA LEDER DESIGN,longchamp-afbfc9,,+49 8405 24900,85057,DE037,,,AM WESTPARK 6,,
,Longchamp,Q1869471,LANDSHUT,DE,info@doerfler-leder.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,48.5344,,,12.1504,ANTON DOERFLER LEDERWAREN,longchamp-afbfc9,,+49 871 22830,84028,DE041,,,"33, ALTSTADT",,
,Longchamp,Q1869471,DRESDEN,DE,dresden@appelrath.com,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,51.04851000000001,,,13.73495000000003,APPELRATH-CÜPPER,longchamp-afbfc9,,+49 351 48239110,01067,DE130,,,ALTMARKT GALERIE,,
,Longchamp,Q1869471,ERFURT,DE,kontakt@breuninger.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,50.97825,,,11.03577999999993,BREUNINGER,longchamp-afbfc9,,+49 361 55560,99084,DE122,,,JUNKERSAND 4,,
,Longchamp,Q1869471,DRESDEN,DE,leliveld@leliveld-schuhe.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,51.06100139999999,,,13.7412362,LELIVELD SCHUHE,longchamp-afbfc9,,+49 351 8027328,01097,DE060,,,KOENIGSTRASSE 12,,
,Longchamp,Q1869471,LEIPZIG,DE,kontakt@breuninger.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,51.3405,,,12.3737,BREUNINGER,longchamp-afbfc9,,+49 341 24390,04109,DE090,,,12 MARKT,,
,Longchamp,Q1869471,MÜNCHEN FLUGHAFEN,DE,Cs.eurotrade@munich-airport.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,48.35762,,,11.79081999999994,MY DUTY FREE STORE,longchamp-afbfc9,,+49 89 97584444,85326,DE073,,,TERMINALSTRASSE MITTE 18,,
,Longchamp,Q1869471,MÜNCHEN FLUGHAFEN,DE,Cs.eurotrade@munich-airport.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,48.355079,,,11.79018989999997,MY DUTY FREE STORE,longchamp-afbfc9,,+49 89 97584444,85326,DE072,,,TERMINALSTRASSE MITTE 18,,
,Longchamp,Q1869471,MÜNCHEN FLUGHAFEN,DE,Cs.eurotrade@munich-airport.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,48.354,,,11.7816,MY DUTY FREE STORE,longchamp-afbfc9,,+49 89 97584444,85326,DE142,,,TERMINALSTRASSE MITTE 18,,
,Longchamp,Q1869471,MÜNCHEN FLUGHAFEN,DE,Cs.eurotrade@munich-airport.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,48.354,,,11.7816,MY DUTY FREE STORE,longchamp-afbfc9,,+49 89 97584444,85326,DE143,,,TERMINALSTRASSE MITTE 18,,
,Longchamp,Q1869471,MÜNCHEN FLUGHAFEN,DE,Cs.eurotrade@munich-airport.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,48.354,,,11.7816,MY DUTY FREE STORE,longchamp-afbfc9,,+49 89 97584444,85326,DE144,,,TERMINALSTRASSE MITTE 18,,
,Longchamp,Q1869471,MÜNCHEN FLUGHAFEN,DE,cs.eurotrade@munich-airport.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,48.354,,,11.7816,AIRPORT BOUTIQUE LONGCHAMP,longchamp-afbfc9,,+49 89 97584444,85356,DE053,,,"TERMINAL 2 - EBENE 05, BEREICH NACH DER SICHERHEITSKONTROLLE",,
,Longchamp,Q1869471,CESKY KRUMLOV,CZ,info@fashionradnicni.cz,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,48.811322,,,14.315299,FASHION RADNICNI,longchamp-afbfc9,,+420 608 537 975,38101,CZ005,,,RADNICNI 28,,
,Longchamp,Q1869471,WUERZBURG,DE,info@woehrl.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,49.79236,,,9.927422,WÖHRL,longchamp-afbfc9,,+49 931 354800,97070,DE013,,,BEIM GRAFENECKART 10,,
,Longchamp,Q1869471,BERLIN,DE,kadewe@longchamp-gmbh.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,52.5019,,,13.34130000000005,LONGCHAMP KADEWE BERLIN,longchamp-afbfc9,,+49 30 21912856,10789,DE043,,,"TAUENTZIENSTR, 21-24",,
,Longchamp,Q1869471,BERLIN,DE,berlin@longchamp-gmbh.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,52.5022533,,,13.32101899999998,LONGCHAMP BERLIN,longchamp-afbfc9,,+49 30 88712810,10719,DE001,,,KURFÜRSTENDAMM 40/41,,
,Longchamp,Q1869471,BERLIN,DE,glberlin@longchamp-gmbh.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,52.5143491,,,13.38961960000006,LONGCHAMP GALERIE LAFAYETTE BERLIN,longchamp-afbfc9,,+49 30 36504134,10117,DE099,,,FRIEDRICHSTRAßE 76-78,,
,Longchamp,Q1869471,BERLIN,DE,glberlin@longchamp-gmbh.de,"{'@spider': 'longchamp', 'shop': 'fashion_accessories'}",,,,52.5147,,,13.39020000000005,LONGCHAMP GALERIE LAFAYETTE BERLIN,longchamp-afbfc9,,+49 30 209480,10117,DE004,,,FRANZÖSISCHE STRASSE 23,,
